aaa,9920325,8399,32,92
aab,9914227,7725,189,307
aac,9989858,7051,139,181
aad,9934417,8369,199,430
aae,9545646,10856,214,301
aaf,9993751,7837,67,276
aag,9607657,9176,96,286
aba,9722173,9306,78,205
abb,9868793,9058,7,25
abc,9507442,8366,205,333
abd,9990982,9511,330,795
abe,9821720,9777,49,111
abf,9981919,9564,56,120
abg,9949105,8955,112,274
aca,9994554,7136,29,40
acb,9583883,9240,31,83
acc,9618198,10017,12,41
acd,9630427,9792,54,106
ace,9948834,7793,26,56
acf,9765731,8609,39,121
acg,9989015,8566,85,160
ada,9966608,8988,135,263
adb,9906197,8278,277,433
adc,9894344,7842,104,264
add,9741351,8830,161,258
ade,9958639,10006,23,80
adf,9983936,8803,107,187
adg,9677964,7201,109,173
aea,9660073,9521,226,459
aeb,9866293,9240,179,279
aec,9994142,9344,60,151
aed,9559254,10082,193,396
aee,9898027,8514,30,72
aef,9368037,10327,84,155
aeg,9889805,8438,70,227
afa,9871937,8515,143,301
afb,9878141,9209,6,15
afc,9983078,6934,139,231
afd,9953025,7345,118,251
afe,9713551,7468,65,316
aff,9988801,9252,315,650
afg,9746493,7858,337,498
aga,9990797,10163,51,122
agb,9779492,9654,246,511
agc,9929332,8195,88,180
agd,9856409,9131,43,98
age,9904984,8087,89,208
agf,9885217,8496,22,77
agg,9983773,9145,20,50
baa,9979867,8330,63,146
bab,9841044,8705,6,11
bac,9734386,9281,56,247
bad,9686105,8514,100,150
bae,9966349,8576,146,303
baf,9973372,9308,5,8
bag,9878472,11435,154,217
bba,9976631,8817,46,163
bbb,9925621,8006,102,210
bbc,9854132,6843,119,256
bbd,9970358,9909,9,35
bbe,9939828,10347,140,280
bbf,9999030,8585,79,120
bbg,9649461,9215,96,268
bca,9784383,10356,51,99
bcb,9961215,7671,33,75
bcc,9963169,11240,105,199
bcd,9859761,8004,98,135
bce,9631981,9679,11,61
bcf,9712256,9119,190,316
bcg,9743501,7935,87,231
bda,9927091,8557,126,401
bdb,9958223,7179,247,456
bdc,9828933,9124,11,51
bdd,9931527,9079,11,27
bde,9827532,9899,145,198
bdf,9963314,9210,108,201
bdg,9924868,9510,168,253
bea,9951806,6868,77,167
beb,9670025,9171,37,90
bec,9984052,8718,103,187
bed,9966194,8422,8,25
bee,9954098,8422,72,171
bef,9792392,8357,5,7
beg,9982294,9178,141,188
bfa,9595987,8991,122,231
bfb,9615524,9199,349,573
bfc,9886199,10426,19,58
bfd,9860644,9360,322,482
bfe,9822022,8775,302,461
bff,9774461,6780,69,131
bfg,9890149,9549,6,16
bga,9844081,8539,82,152
bgb,9885847,10679,111,184
bgc,9774734,7393,109,176
bgd,9987589,7830,138,213
bge,9960167,9500,16,38
bgf,9875665,9858,302,523
bgg,9977080,8178,83,258
caa,9999059,8862,186,329
cab,9876630,8577,98,311
cac,9966507,8953,272,676
cad,9087288,9456,110,189
cae,9821911,7419,11,24
caf,9915855,9643,8,27
cag,9651798,8531,24,62
cba,9991064,8506,6,12
